OBJECTID,Province_State,Country_Region,Lat,Long_,Confirmed,Recovered,Deaths,Active,Admin2,FIPS,Combined_Key,datetime
53,Mato Grosso do Sul,Brazil,-20.7722,-54.7852,392408,0,9759,0,NA,NA,Mato Grosso do Sul, Brazil,2022-01-18 16:21:15
54,Minas Gerais,Brazil,-18.5122,-44.555,2362231,0,56832,0,NA,NA,Minas Gerais, Brazil,2022-01-18 16:21:15
55,Para,Brazil,-1.9981,-54.9306,634200,0,17249,0,NA,NA,Para, Brazil,2022-01-18 16:21:15
56,Paraiba,Brazil,-7.24,-36.782,468652,0,9617,0,NA,NA,Paraiba, Brazil,2022-01-18 16:21:15
57,Parana,Brazil,-25.2521,-52.0215,1709569,0,40940,0,NA,NA,Parana, Brazil,2022-01-18 16:21:15
58,Pernambuco,Brazil,-8.8137,-36.9541,655476,0,20554,0,NA,NA,Pernambuco, Brazil,2022-01-18 16:21:15
59,Piaui,Brazil,-7.7183,-42.7289,345171,0,7323,0,NA,NA,Piaui, Brazil,2022-01-18 16:21:15
60,Rio Grande do Norte,Brazil,-5.4026,-36.9541,394421,0,7604,0,NA,NA,Rio Grande do Norte, Brazil,2022-01-18 16:21:15
61,Rio Grande do Sul,Brazil,-30.0346,-51.2177,1594960,0,36533,0,NA,NA,Rio Grande do Sul, Brazil,2022-01-18 16:21:15
62,Rio de Janeiro,Brazil,-22.9068,-43.1729,1444349,0,69586,0,NA,NA,Rio de Janeiro, Brazil,2022-01-18 16:21:15
63,Rondonia,Brazil,-11.5057,-63.5806,291441,0,6791,0,NA,NA,Rondonia, Brazil,2022-01-18 16:21:15
64,Roraima,Brazil,-2.7376,-62.0751,133029,0,2078,0,NA,NA,Roraima, Brazil,2022-01-18 16:21:15
65,Santa Catarina,Brazil,-27.2423,-50.2189,1304925,0,20284,0,NA,NA,Santa Catarina, Brazil,2022-01-18 16:21:15
66,Sao Paulo,Brazil,-23.5505,-46.6333,4501846,0,155741,0,NA,NA,Sao Paulo, Brazil,2022-01-18 16:21:15
67,Sergipe,Brazil,-10.5741,-37.3857,280308,0,6067,0,NA,NA,Sergipe, Brazil,2022-01-18 16:21:15
68,Tocantins,Brazil,-10.1753,-48.2982,244197,0,3972,0,NA,NA,Tocantins, Brazil,2022-01-18 16:21:15
69,NA,Brunei,4.5353,114.7277,15901,0,98,0,NA,NA,Brunei,2022-01-18 16:21:15
70,NA,Bulgaria,42.7339,25.4858,830604,0,32247,0,NA,NA,Bulgaria,2022-01-18 16:21:15
71,NA,Burkina Faso,12.2383,-1.5616,20249,0,339,0,NA,NA,Burkina Faso,2022-01-18 16:21:15
72,NA,Burma,21.9162,95.956,533408,0,19305,0,NA,NA,Burma,2022-01-18 16:21:15
73,NA,Burundi,-3.3731,29.9189,36654,0,38,0,NA,NA,Burundi,2022-01-18 16:21:15
74,NA,Cabo Verde,16.5388,-23.0418,54367,0,376,0,NA,NA,Cabo Verde,2022-01-18 16:21:15
75,NA,Cambodia,11.55,104.9167,120847,0,3015,0,NA,NA,Cambodia,2022-01-18 16:21:15
76,NA,Cameroon,3.848,11.5021,109666,0,1853,0,NA,NA,Cameroon,2022-01-18 16:21:15
77,Alberta,Canada,53.9333,-116.5765,452381,0,3403,0,NA,NA,Alberta, Canada,2022-01-18 16:21:15
78,British Columbia,Canada,53.7267,-127.6476,299146,0,2490,0,NA,NA,British Columbia, Canada,2022-01-18 16:21:15
79,Diamond Princess,Canada,NA,NA,0,0,1,0,NA,NA,Diamond Princess, Canada,2020-12-21 13:27:30
80,Grand Princess,Canada,NA,NA,13,0,0,0,NA,NA,Grand Princess, Canada,2020-12-21 13:27:30
81,Manitoba,Canada,53.7609,-98.8139,110593,0,1463,0,NA,NA,Manitoba, Canada,2022-01-18 16:21:15
82,New Brunswick,Canada,46.5653,-66.4619,23173,0,189,0,NA,NA,New Brunswick, Canada,2022-01-18 16:21:15
83,Newfoundland and Labrador,Canada,53.1355,-57.6604,13032,0,26,0,NA,NA,Newfoundland and Labrador, Canada,2022-01-18 16:21:15
84,Northwest Territories,Canada,64.8255,-124.8457,4055,0,13,0,NA,NA,Northwest Territories, Canada,2022-01-18 16:21:15
85,Nova Scotia,Canada,44.682,-63.7443,31445,0,121,0,NA,NA,Nova Scotia, Canada,2022-01-18 16:21:15
86,Nunavut,Canada,70.2998,-83.1076,1195,0,4,0,NA,NA,Nunavut, Canada,2022-01-18 16:21:15
87,Ontario,Canada,51.2538,-85.3232,971033,0,10702,0,NA,NA,Ontario, Canada,2022-01-18 16:21:15
88,Prince Edward Island,Canada,46.5107,-63.4168,4401,0,0,0,NA,NA,Prince Edward Island, Canada,2022-01-18 16:21:15
89,Quebec,Canada,52.9399,-73.5491,801152,0,12364,0,NA,NA,Quebec, Canada,2022-01-18 16:21:15
90,Repatriated Travellers,Canada,NA,NA,13,0,0,0,NA,NA,Repatriated Travellers, Canada,2022-01-18 16:21:15
91,Saskatchewan,Canada,52.9399,-106.4509,101537,0,961,0,NA,NA,Saskatchewan, Canada,2022-01-18 16:21:15
92,Yukon,Canada,64.2823,-135,2720,0,15,0,NA,NA,Yukon, Canada,2022-01-18 16:21:15
93,NA,Central African Republic,6.6111,20.9394,13319,0,108,0,NA,NA,Central African Republic,2022-01-18 16:21:15
94,NA,Chad,15.4542,18.7322,6887,0,185,0,NA,NA,Chad,2022-01-18 16:21:15
95,Antofagasta,Chile,-23.6509,-70.3975,73333,0,1298,0,NA,NA,Antofagasta, Chile,2022-01-18 16:21:15
96,Araucania,Chile,-38.9489,-72.3311,108637,0,1570,0,NA,NA,Araucania, Chile,2022-01-18 16:21:15
97,Arica y Parinacota,Chile,-18.594,-69.4785,33065,0,547,0,NA,NA,Arica y Parinacota, Chile,2022-01-18 16:21:15
98,Atacama,Chile,-27.5661,-70.0503,32189,0,385,0,NA,NA,Atacama, Chile,2022-01-18 16:21:15
99,Aysen,Chile,-45.9864,-73.7669,10802,0,100,0,NA,NA,Aysen, Chile,2022-01-18 16:21:15
100,Biobio,Chile,-37.4464,-72.1416,171868,0,2893,0,NA,NA,Biobio, Chile,2022-01-18 16:21:15
101,Coquimbo,Chile,-29.959,-71.3389,57662,0,1110,0,NA,NA,Coquimbo, Chile,2022-01-18 16:21:15
102,Los Lagos,Chile,-41.9198,-72.1416,101577,0,1557,0,NA,NA,Los Lagos, Chile,2022-01-18 16:21:15
103,Los Rios,Chile,-40.231,-72.3311,55602,0,739,0,NA,NA,Los Rios, Chile,2022-01-18 16:21:15
104,Magallanes,Chile,-52.368,-70.9863,33111,0,514,0,NA,NA,Magallanes, Chile,2022-01-18 16:21:15
105,Maule,Chile,-35.5183,-71.6885,111619,0,1875,0,NA,NA,Maule, Chile,2022-01-18 16:21:15
106,Metropolitana,Chile,-33.4376,-70.6505,786393,0,20018,0,NA,NA,Metropolitana, Chile,2022-01-18 16:21:15
107,Nuble,Chile,-36.7226,-71.7622,40802,0,681,0,NA,NA,Nuble, Chile,2022-01-18 16:21:15
108,OHiggins,Chile,-34.5755,-71.0022,74862,0,1637,0,NA,NA,OHiggins, Chile,2022-01-18 16:21:15
109,Tarapaca,Chile,-19.9232,-69.5132,55489,0,840,0,NA,NA,Tarapaca, Chile,2022-01-18 16:21:15
110,Unknown,Chile,NA,NA,56,0,0,0,NA,NA,Unknown, Chile,2022-01-18 16:21:15
111,Valparaiso,Chile,-33.0472,-71.6127,146048,0,3663,0,NA,NA,Valparaiso, Chile,2022-01-18 16:21:15
112,Anhui,China,31.8257,117.2264,1009,0,6,0,NA,NA,Anhui, China,2022-01-18 16:21:15
113,Beijing,China,40.1824,116.4142,1231,0,9,0,NA,NA,Beijing, China,2022-01-18 16:21:15
114,Chongqing,China,30.0572,107.874,611,0,6,0,NA,NA,Chongqing, China,2022-01-18 16:21:15
115,Fujian,China,26.0789,117.9874,1443,0,1,0,NA,NA,Fujian, China,2022-01-18 16:21:15
116,Gansu,China,35.7518,104.2861,356,0,2,0,NA,NA,Gansu, China,2022-01-18 16:21:15
117,Guangdong,China,23.3417,113.4244,3675,0,8,0,NA,NA,Guangdong, China,2022-01-18 16:21:15
118,Guangxi,China,23.8298,108.7881,688,0,2,0,NA,NA,Guangxi, China,2022-01-18 16:21:15
